Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
2191.74, 21.7926, 1693.52, 906514, 4.74924
2184.65, 21.8678, 1463.62, 906256, 4.54405
2180.51, 21.979, 1722.54, 906202, 4.78761
2183.13, 22.1086, 1452.63, 905674, 4.41451
2188.21, 22.2803, 1737.26, 905530, 4.87567
2214.53, 22.5148, 1782.34, 905326, 3.15563
2189.04, 22.5886, 2325.44, 905251, 4.22343
2177.03, 22.6903, 2401.51, 905239, 5.41562
2176.46, 22.8453, 2313.61, 904963, 5.97622
2174.42, 22.9602, 1908.26, 904048, 5.78154
2181.2, 23.1469, 1509.4, 903446, 4.82166
2176.81, 23.2501, 1297.03, 903141, 4.5686
2174, 23.4194, 1680.16, 903070, 6.39002
2184.19, 23.6224, 1660.05, 902592, 5.85713
2177.59, 23.7317, 1586.54, 902212, 6.07244
2174.6, 23.8398, 1375.89, 901886, 5.3651
2172.57, 23.9751, 1381.73, 901589, 5.46879
2177.55, 24.1353, 1344.78, 901466, 4.81872
2178.25, 24.2817, 1485.11, 901340, 4.88393
2181.71, 24.4422, 1679.06, 900944, 5.58613
2185.9, 24.6106, 1550.32, 900544, 5.43457
2196.81, 24.7752, 1496.65, 900292, 4.388
2182.82, 24.9368, 1593.35, 900072, 5.14554
2178.78, 25.0602, 1481.28, 899784, 5.21681
2189.53, 25.2958, 1848.97, 899740, 6.0051
2189.13, 25.475, 1828.64, 899511, 5.78858
2199.27, 25.7035, 1888.41, 899339, 6.24858
2213.97, 25.9242, 1781.81, 898874, 5.82491
2219.77, 26.171, 1869.93, 898602, 6.11995
2201.97, 26.3178, 2187.6, 898469, 7.40412
2191.41, 26.4369, 2060.72, 898041, 7.62926
2170.97, 26.4467, 1767.45, 897758, 4.83569
2158.78, 26.5774, 2029.76, 897541, 6.15978
2196, 26.9596, 2081.15, 897245, 7.15236
2188.64, 27.1129, 2001.01, 896828, 7.20233
2200.69, 27.2985, 1964.76, 896588, 3.22879
2171.9, 27.3268, 1781.84, 896430, 3.79107
2153.39, 27.3951, 2118.96, 896233, 5.33351
2183.48, 27.7621, 1914.17, 895693, 4.99237
2183.69, 27.9151, 1947.21, 895332, 5.07808
2185.03, 28.1355, 2127.68, 895127, 5.63957
2165.75, 28.1655, 1714.19, 894712, 5.66919
2174.04, 28.3327, 1777.87, 894539, 4.88472
2155.7, 28.4116, 2293.8, 894497, 6.46539
2165.3, 28.6136, 2393.86, 894154, 5.44325
2146.34, 28.6248, 1915.94, 893468, 6.73765
2149.17, 28.7506, 1870.75, 893240, 5.31971
2165.79, 28.9793, 1741.29, 892989, 3.78731
2160.15, 29.0783, 1791.34, 892977, 4.073
2160.72, 29.2029, 2277.97, 892971, 4.83269
2170.32, 29.4671, 2347.72, 892521, 6.03345
2154.1, 29.5368, 2570.55, 892467, 6.50306
2149.16, 29.6829, 2491.2, 892137, 7.74793
2131.05, 29.701, 2387.54, 891739, 7.97672
2131.92, 29.8185, 1859.38, 891085, 6.52703
2123.67, 29.8735, 1676.89, 890596, 6.35075
2122.92, 29.9592, 1690.51, 890400, 6.07505
2128.83, 29.9978, 1737.03, 890378, 4.95168
2129.49, 30.0657, 1881.25, 890306, 3.29617
2123.33, 30.2014, 2209.36, 890146, 4.28552
2146.07, 30.4303, 2088.13, 890033, 3.53113
2126.79, 30.5589, 2034.04, 889683, 4.27308
2136.59, 30.7645, 2270.27, 889646, 3.96578
2133.64, 30.8351, 2334.75, 889518, 3.55225
2161.24, 31.1882, 2447.31, 889314, 3.82584
2137.73, 31.2402, 2284.45, 888747, 4.71883
2142.79, 31.4102, 2174.33, 888498, 4.89071
2177.2, 31.7298, 2257.44, 888263, 3.56516
2134.45, 31.7479, 2125.81, 887674, 4.78933
2121.37, 31.8751, 2100.42, 887272, 5.71622
2109.83, 31.9508, 2068.29, 887069, 6.09458
2112.08, 32.0948, 2188.01, 886843, 5.55252
2111.25, 32.2007, 1898.7, 886267, 5.74187
2098.12, 32.2795, 2015.76, 886173, 6.41171
2085.15, 32.338, 1760.04, 885705, 6.14053
2084.52, 32.4609, 1682.81, 885405, 5.39227
2094.2, 32.6559, 2072.5, 885391, 4.10102
2100.85, 32.941, 2294.11, 885204, 6.64246
2111.4, 33.1672, 1898.94, 884799, 6.08119
2116.33, 33.261, 2117.35, 884747, 5.98191
2127.88, 33.3451, 2155.7, 884740, 3.6739
2119.73, 33.4448, 1528.43, 883717, 3.68686
2104.74, 33.584, 1735.78, 883471, 4.58024
2086.77, 33.6756, 2089.13, 883374, 6.73315
2087.94, 33.7994, 1882.36, 882835, 6.69374
2074.57, 33.8614, 1976.8, 882795, 7.8134
2067.95, 33.9364, 1896.46, 882537, 7.59338
2061.25, 34.0166, 2081.02, 882507, 8.67322
2059.55, 34.1091, 1960.92, 882043, 8.172
2055.78, 34.1958, 2093.59, 881870, 8.96838
2056.88, 34.3083, 2019.3, 881592, 8.27535
2057.21, 34.4012, 2316.76, 881581, 6.23008
2057, 34.5232, 2000.6, 880982, 7.45085
2053.99, 34.6207, 2069.89, 880953, 7.30579
2054.21, 34.7469, 2130.86, 880811, 8.53099
2082.6, 35.0842, 2133.25, 880561, 6.15767
2077.26, 35.1309, 2308.69, 880356, 3.38513
2074.01, 35.2554, 2005.34, 879754, 3.87976
2079.15, 35.3792, 2003.33, 879485, 3.45546
2076.69, 35.4534, 2013.76, 879290, 3.31454
2074.79, 35.5794, 2150.69, 879236, 3.78047
2076.65, 35.7162, 1838.95, 878792, 4.25071
2080.61, 35.7573, 1962.49, 878790, 3.32202
2079.95, 35.985, 2152.29, 878428, 4.44395
2077.45, 36.1217, 2249.13, 878042, 5.0153
2072.48, 36.2492, 2113.05, 877541, 5.30064
2081.8, 36.456, 1957.36, 877166, 4.09853
2084.98, 36.5783, 2196.04, 877118, 3.67639
2089, 36.7356, 2328.74, 876979, 4.22146
2089.28, 36.9162, 2631.07, 876941, 5.02977
2087.82, 37.0376, 2194.06, 876223, 5.37659
2110.31, 37.2892, 2335.8, 876032, 4.90873
2101.38, 37.4078, 2248.28, 875677, 4.95374
2094.8, 37.5526, 2031.18, 875150, 5.45081
2084.9, 37.6943, 2311.99, 874977, 6.67931
2078.06, 37.7926, 1753.74, 874294, 5.2195
2071.5, 37.897, 1622.89, 873770, 4.82252
2064.7, 38.0187, 1736.56, 873715, 5.04547
2058.36, 38.1478, 1957.29, 873650, 5.91322
2052.22, 38.2597, 1954.91, 873227, 5.89939
2048.29, 38.3607, 1627.86, 872969, 5.02006
2044.22, 38.4723, 1634.02, 872656, 4.80012
2042.66, 38.611, 1725.24, 872479, 5.14671
2040.97, 38.7335, 1683.33, 872159, 4.75552
2041.87, 38.9219, 2243.51, 872109, 6.51899
2041.23, 39.0478, 1984.36, 871691, 5.74889
2042.82, 39.1746, 1765.15, 871435, 4.5348
2041.89, 39.3006, 1886.66, 871120, 4.10751
2041.83, 39.4634, 1911.21, 870932, 5.13093
2044.12, 39.6338, 1912.42, 870641, 4.30429
2045.05, 39.8085, 1951.91, 870406, 5.10906
2046.34, 39.9732, 2035.59, 870148, 5.30579
2046.96, 40.1391, 2227.39, 870136, 6.12619
2047.12, 40.2732, 1960.09, 869566, 5.3492
2050.42, 40.4462, 1981.03, 869155, 5.55386
2049.44, 40.5882, 1854.12, 868823, 4.88691
2050.92, 40.7188, 1634.35, 868680, 3.86531
2052.74, 40.8699, 1838.29, 868588, 3.5819
2059.72, 41.0975, 1963.69, 868358, 4.46455
2073.68, 41.259, 2081.98, 868271, 3.01234
2087.51, 41.5808, 2465.7, 868262, 3.58505
2065.7, 41.6457, 2817.32, 868111, 4.39028
2066.53, 41.8166, 2491.94, 867470, 4.73106
2051.78, 41.898, 2744.89, 867375, 5.66139
2066.61, 42.1343, 3031.01, 867360, 6.23771
2058.1, 42.2288, 2434.18, 866547, 5.89691
2058.34, 42.4012, 2387.94, 866378, 6.00514
2048.58, 42.5213, 2468.15, 866056, 6.84653
2040.98, 42.6184, 2400, 865547, 6.78856
