Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
3980.37, 10.1423, 10715.6, 518821, 30.0479
3981.24, 10.3006, 10956.9, 512746, 29.6237
3976.22, 10.4347, 7706.47, 510384, 22.2886
3975.94, 10.628, 11784.3, 508267, 31.0507
3971.02, 10.7595, 7594.05, 504998, 21.6415
3970.8, 10.9503, 10709.9, 502389, 28.5156
3965.9, 11.0792, 6675.47, 498937, 18.393
3964.94, 11.2662, 8461.47, 495754, 22.866
3959.92, 11.4249, 8125.87, 495482, 22.4494
3960.73, 11.6111, 10044.6, 492248, 26.3725
3955.95, 11.7666, 8947.77, 491533, 24.2335
3957.38, 11.9505, 10396.6, 487939, 26.8143
3952.53, 12.1027, 8604.61, 486511, 23.0169
3953.49, 12.2827, 9277.72, 482563, 23.9407
3948.54, 12.4317, 7348.36, 480687, 19.1828
3949.21, 12.6512, 11274.3, 479680, 27.9074
3944.31, 12.7968, 8013.63, 476763, 20.7385
3945.49, 13.013, 11824.4, 475758, 28.5955
3940.43, 13.1552, 7762.65, 472041, 19.679
3940.95, 13.3663, 10528.7, 470378, 25.6393
3935.85, 13.5055, 6775.22, 466708, 16.3314
3935.12, 13.7106, 8267.97, 464346, 20.0566
3929.67, 13.8819, 7947.16, 463666, 19.4612
3930.06, 14.0845, 9459.45, 461249, 22.5794
3924.63, 14.2516, 8482.73, 460115, 20.5001
3924.17, 14.2928, 5765.26, 456563, 11.8355
3924.12, 14.2959, 5684.78, 456433, 11.4728
3924.11, 14.2961, 5679.02, 456423, 11.4463
3924.11, 14.2961, 5678.87, 456423, 11.4457
3924.11, 14.2961, 7.2683e-10, 450744, 3.4179
3924.11, 14.2961, 7.46025e-09, 450744, 3.41789
3924.11, 14.2961, 2.91385e-14, 450744, 3.4179
3924.11, 14.2961, 1.14325e-17, 450744, 3.4179
3924.11, 14.2961, 8.8444e-18, 450744, 3.4179
3924.11, 14.2961, 1.06928e-17, 450744, 3.4179
3924.11, 14.2961, 8.2728e-18, 450744, 3.4179
3924.11, 14.2961, 1.0002e-17, 450744, 3.4179
3924.11, 14.2961, 1.20911e-17, 450744, 3.4179
