E_Curvature, E_Area, E_Regularization, E_Total ((pN.nm)), Mean Force (pN)
41.5306, 879.77, 1.6933e-06, 925.941, 0.0195347
39.958, 879.77, 1.22077e-06, 924.369, 0.00478543
42.412, 879.77, 1.30415e-06, 926.822, 0.0120887
32.829, 879.77, 1.40917e-06, 917.239, 0.00864882
41.8846, 879.77, 9.73254e-07, 926.295, 0.0384612
46.18, 879.77, 3.6282e-06, 930.59, 0.073918
35.4299, 879.77, 1.0555e-06, 919.84, 0.0203064
32.2152, 879.77, 1.09937e-06, 916.626, 0.0205964
45.3778, 879.769, 1.304e-06, 929.788, 0.0460904
43.2209, 879.769, 1.82636e-13, 927.631, 0.120339
42.7483, 879.769, 4.94694e-13, 927.159, 0.0255211
41.8851, 879.769, 7.78568e-13, 926.295, 0.0306811
42.0757, 879.769, 1.62034e-12, 926.486, 0.0174738
36.243, 879.769, 1.60713e-12, 920.653, 0.0354355
45.394, 879.769, 2.70268e-12, 929.804, 0.0570643
44.6682, 879.769, 3.15183e-12, 929.079, 0.0308212
37.8564, 879.769, 4.04784e-12, 922.267, 0.0198872
42.5514, 879.769, 5.2707e-12, 926.962, 0.0197176
37.4307, 879.769, 5.27378e-12, 921.841, 0.0177293
41.5042, 879.769, 9.45788e-15, 925.914, 0.0382245
44.0532, 879.769, 1.02605e-13, 928.463, 0.111483
38.5787, 879.769, 5.84086e-14, 922.989, 0.0349716
39.1455, 879.769, 1.09641e-13, 923.556, 0.0572897
39.8097, 879.769, 1.87265e-13, 924.22, 0.0106466
41.7361, 879.769, 2.39151e-13, 926.146, 0.033782
39.9846, 879.769, 2.27366e-13, 924.395, 0.0280726
39.0864, 879.769, 3.02445e-13, 923.497, 0.0280549
37.8049, 879.769, 3.42393e-13, 922.215, 0.0398475
43.4074, 879.769, 1.04193e-15, 927.818, 0.0236
37.5609, 879.769, 4.29335e-15, 921.971, 0.0431731
41.185, 879.769, 7.73908e-15, 925.595, 0.0174744
38.004, 879.769, 9.07742e-15, 922.414, 0.0134614
42.6133, 879.769, 1.49876e-14, 927.024, 0.0246288
40.3575, 879.769, 1.90768e-14, 924.768, 0.0169085
41.1247, 879.769, 2.69885e-14, 925.535, 0.0139525
45.3043, 879.769, 3.16669e-14, 929.715, 0.0417916
33.2426, 879.769, 3.8395e-14, 917.653, 0.0190507
43.2919, 879.769, 3.82216e-14, 927.702, 0.0375274
40.9378, 879.769, 4.74082e-14, 925.348, 0.0388081
43.5812, 879.769, 5.53304e-14, 927.991, 0.0132043
34.8217, 879.769, 4.64832e-14, 919.232, 0.0372935
40.727, 879.769, 5.17746e-14, 925.137, 0.0220834
37.5498, 879.769, 6.32698e-14, 921.96, 0.0214438
39.9423, 879.769, 5.13986e-14, 924.353, 0.039514
40.1969, 879.769, 1.6085e-17, 924.607, 0.0186494
44.862, 879.769, 5.94804e-17, 929.272, 0.0218324
40.1137, 879.769, 1.39076e-16, 924.524, 0.0298774
40.5245, 879.769, 2.286e-16, 924.935, 0.0196499
41.951, 879.769, 2.53605e-16, 926.361, 0.0318742
39.5506, 879.769, 3.03418e-16, 923.961, 0.0332162
40.2501, 879.769, 4.22528e-16, 924.66, 0.020289
46.2217, 879.769, 4.78103e-16, 930.632, 0.0437201
38.363, 879.769, 7.34928e-16, 922.773, 0.0512979
33.5806, 879.769, 6.50804e-16, 917.991, 0.0161782
37.2757, 879.769, 8.19968e-16, 921.686, 0.026182
40.2082, 879.769, 8.16401e-16, 924.618, 0.0242737
44.0941, 879.769, 6.48401e-16, 928.504, 0.025746
34.6339, 879.769, 1.10093e-15, 919.044, 0.021442
39.1692, 879.769, 9.10736e-16, 923.579, 0.0287953
38.0118, 879.769, 8.11146e-16, 922.422, 0.01868
41.2041, 879.769, 9.68961e-16, 925.614, 0.0700975
38.574, 879.769, 1.12661e-15, 922.984, 0.0239765
45.2882, 879.769, 1.28205e-15, 929.698, 0.0210822
39.4117, 879.769, 1.0764e-15, 923.822, 0.0484567
42.8036, 879.769, 1.19977e-15, 927.214, 0.031101
45.682, 879.769, 9.23029e-16, 930.092, 0.0156538
39.6845, 879.769, 1.1831e-15, 924.095, 0.0380935
34.0621, 879.769, 1.06884e-15, 918.472, 0.0432215
43.4265, 879.769, 1.04783e-15, 927.837, 0.0380209
35.7977, 879.769, 9.89191e-16, 920.208, 0.0456149
37.9764, 879.769, 1.01645e-15, 922.387, 0.01292
45.8351, 879.769, 1.12666e-15, 930.245, 0.0193847
37.8732, 879.769, 1.1393e-15, 922.283, 0.0208718
47.2729, 879.769, 8.86662e-16, 931.683, 0.0397709
42.4005, 879.769, 1.16275e-15, 926.811, 0.0284414
44.486, 879.769, 1.14641e-15, 928.896, 0.0227123
41.0444, 879.769, 1.3427e-15, 925.455, 0.00891097
37.7962, 879.769, 1.23164e-15, 922.206, 0.0173487
44.9919, 879.769, 1.1039e-15, 929.402, 0.0377089
47.7607, 879.769, 1.60929e-15, 932.171, 0.037695
46.5692, 879.769, 8.97804e-16, 930.979, 0.0343831
46.0127, 879.769, 1.49282e-21, 930.423, 0.0174681
36.7222, 879.769, 4.85897e-21, 921.132, 0.0327081
40.6938, 879.769, 9.37079e-21, 925.104, 0.0741095
44.1875, 879.769, 1.66501e-20, 928.598, 0.0209813
51.5031, 879.769, 2.48606e-20, 935.913, 0.038966
38.8268, 879.769, 2.7887e-20, 923.237, 0.0175928
38.2528, 879.769, 3.628e-20, 922.663, 0.0444932
41.7151, 879.769, 4.49325e-20, 926.125, 0.0349029
40.3312, 879.769, 3.48437e-20, 924.741, 0.0484958
38.4562, 879.769, 3.66135e-20, 922.866, 0.0125212
41.1609, 879.769, 5.37662e-20, 925.571, 0.0303002
47.523, 879.769, 5.01555e-20, 931.933, 0.0398722
39.7866, 879.769, 4.79101e-20, 924.197, 0.0186007
55.0799, 879.769, 6.36857e-20, 940.957, 0.025777
44.2241, 879.769, 8.7298e-20, 930.101, 0.0535998
38.5385, 879.769, 5.67067e-20, 924.416, 0.0126182
37.5948, 879.769, 4.70138e-20, 923.472, 0.0389002
42.0662, 879.769, 6.27257e-20, 927.943, 0.0112407
46.068, 879.769, 7.9259e-20, 931.945, 0.0283453
46.5425, 879.769, 6.65434e-20, 932.42, 0.0284159
35.7209, 879.769, 1.06454e-19, 921.598, 0.0258472
40.2824, 879.769, 7.49001e-24, 926.159, 0.0651397
44.9202, 879.769, 2.39346e-23, 930.797, 0.0401424
39.0508, 879.769, 2.68942e-23, 924.928, 0.0573527
43.3928, 879.769, 5.53551e-23, 929.27, 0.0277004
44.7068, 879.769, 8.10502e-23, 930.584, 0.0355364
45.151, 879.769, 8.6927e-23, 931.028, 0.0356471
35.8863, 879.769, 1.38373e-22, 921.763, 0.0380076
35.0854, 879.769, 2.06446e-24, 920.963, 0.0947954
38.7658, 879.769, 1.05583e-23, 924.643, 0.0285873
41.5639, 879.769, 1.26714e-23, 927.441, 0.0410967
41.1451, 879.769, 1.27183e-23, 927.022, 0.0226877
43.2702, 879.769, 1.19269e-23, 929.147, 0.0270409
37.2467, 879.769, 1.23047e-23, 923.124, 0.0343821
36.3369, 879.769, 1.13282e-23, 922.214, 0.0192127
36.727, 879.769, 1.12661e-23, 922.604, 0.0380159
41.3591, 879.769, 1.28416e-23, 927.236, 0.0320074
43.2264, 879.769, 1.80543e-23, 929.103, 0.0525239
40.9123, 879.769, 1.39814e-23, 926.789, 0.0284199
40.2891, 879.769, 1.41491e-23, 926.166, 0.0446359
37.7355, 879.769, 1.48969e-23, 923.613, 0.0107466
49.3452, 879.769, 1.32876e-23, 935.222, 0.0970477
39.5732, 879.769, 1.48631e-23, 925.45, 0.0193289
43.6077, 879.769, 1.23759e-23, 929.485, 0.0641437
42.3848, 879.769, 1.0316e-23, 928.262, 0.0303835
39.2157, 879.769, 1.20306e-23, 925.093, 0.0279982
46.3605, 879.769, 1.73222e-23, 932.238, 0.0240171
47.0886, 879.769, 2.03259e-23, 932.966, 0.0373538
42.894, 879.769, 1.42678e-23, 928.771, 0.0230568
46.1029, 879.769, 1.61529e-23, 931.98, 0.038212
38.5094, 879.769, 1.20358e-23, 924.387, 0.0236691
41.1053, 879.769, 1.2319e-23, 926.982, 0.0332567
41.1223, 879.769, 1.52187e-23, 926.999, 0.023497
37.1268, 879.769, 1.4795e-23, 923.004, 0.0245142
33.6134, 879.769, 1.3274e-23, 919.49, 0.0323895
39.2657, 879.769, 1.69351e-23, 925.143, 0.0401528
41.6092, 879.769, 1.26539e-23, 927.486, 0.0631083
38.8754, 879.769, 1.64646e-23, 924.753, 0.0660561
42.7622, 879.769, 1.75527e-23, 928.639, 0.0211556
50.0937, 879.769, 1.45824e-23, 935.971, 0.018578
43.4884, 879.769, 1.35709e-23, 929.366, 0.0328824
44.5096, 879.769, 1.96015e-23, 930.387, 0.0122071
42.2178, 879.769, 1.52923e-23, 928.095, 0.0274087
38.8219, 879.769, 1.52869e-23, 924.699, 0.0514796
39.5333, 879.769, 1.61083e-23, 925.41, 0.0219185
35.0786, 879.769, 1.14913e-23, 920.956, 0.0221302
40.5137, 879.769, 1.22158e-23, 926.391, 0.0115534
37.1234, 879.769, 0, 923, 0.0242424
42.2603, 879.769, 0, 928.137, 0.0298292
42.1538, 879.769, 0, 928.031, 0.0784559
