Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
1413.82, 6.36996, 1663.34, 931358, 4.65646
1414.23, 6.4225, 1451.96, 930909, 4.42269
1414.04, 6.47779, 1570.33, 930867, 4.58948
1415.9, 6.53381, 1434.74, 930459, 4.16208
1416.54, 6.5883, 1553, 930172, 4.32808
1418.97, 6.64337, 1522.79, 929860, 4.14796
1420.09, 6.68769, 1538.69, 929737, 3.67351
1423.65, 6.75766, 1801.25, 929687, 4.11612
1420.41, 6.8137, 1918.64, 929492, 4.88092
1419.63, 6.87379, 1872.71, 929081, 4.9645
1419.58, 6.93556, 2144.83, 929038, 5.75933
1418.79, 6.99635, 2002.09, 928555, 5.57863
1416.15, 7.04253, 1496.99, 928148, 4.75168
1416.87, 7.10393, 1540, 927883, 4.60185
1418.2, 7.16908, 1777.47, 927714, 5.04107
1419.98, 7.23138, 1669.94, 927284, 4.76262
1421.38, 7.29478, 1740.63, 927145, 5.00155
1423.96, 7.36003, 1582.5, 926701, 4.49873
1428.14, 7.43258, 1699.54, 926655, 5.69933
1434.14, 7.46219, 1586.53, 926529, 3.89782
1425.22, 7.51507, 1974.21, 926469, 4.66067
1424.59, 7.58256, 1721.01, 925927, 5.0072
1418.24, 7.62018, 1721.45, 925573, 4.58694
1442.4, 7.75653, 1721.06, 925287, 4.60757
1446.62, 7.84354, 1848.42, 925007, 5.00891
1436.1, 7.88625, 1648.43, 924619, 4.81098
1425.83, 7.93033, 1840.59, 924610, 5.33853
1417.86, 7.96851, 1621.09, 924066, 4.91264
1413.35, 8.02398, 1677.4, 923913, 5.03438
1411.95, 8.08108, 1510.77, 923476, 4.4943
1414.07, 8.1567, 1688.37, 923352, 4.6304
1428.7, 8.26667, 1794.47, 923274, 4.20975
1420.34, 8.31756, 1967.32, 923042, 5.18411
1422.63, 8.39753, 2113.88, 922865, 5.60297
1420.87, 8.45449, 1984.84, 922496, 5.52197
1420.85, 8.50698, 1856.11, 922037, 4.67007
1420.57, 8.56634, 1623.96, 921687, 4.27128
1415.18, 8.61764, 1477.26, 921270, 4.18524
1410.69, 8.67383, 1715.01, 921211, 4.72265
1405.86, 8.71988, 1628.75, 920780, 4.66559
