Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
1522.67, 6.75982, 1884.12, 930756, 6.51306
1522.92, 6.82099, 2327.8, 930739, 7.55551
1522.71, 6.88018, 2042.38, 930171, 7.20052
1520.43, 6.92571, 1494.7, 929453, 5.62697
1521.62, 6.98773, 1464.49, 929274, 5.2474
1522.71, 7.04943, 1618.42, 929113, 5.60201
1522.21, 7.12034, 2022.46, 929082, 6.67534
1520.34, 7.17301, 1788.77, 928618, 6.48938
1523, 7.25128, 2073.94, 928523, 7.28743
1521.95, 7.3062, 1840.9, 928251, 6.8924
1523.26, 7.37921, 2116.02, 928187, 7.48975
1524.63, 7.43951, 1834.84, 927534, 6.76129
1528.11, 7.51691, 2030.96, 927365, 7.16059
1530.74, 7.58446, 1804.24, 926932, 7.64346
1544.32, 7.63511, 1870.17, 926853, 4.91083
1529.16, 7.67523, 1690.22, 926431, 5.4331
1521.9, 7.71278, 1480.77, 926209, 5.17972
1518.11, 7.77107, 1668.47, 926012, 5.53644
1520.64, 7.85069, 1919.91, 925901, 6.70256
1519.22, 7.91475, 2001.84, 925639, 6.86645
1530.08, 8.00892, 1665.89, 925017, 5.94947
1535.22, 8.09385, 1735.51, 924738, 5.8327
1526.22, 8.13929, 1811.01, 924630, 6.37695
1522.33, 8.19197, 1703.05, 924213, 6.05773
1516, 8.23978, 1817.42, 924062, 6.42372
1514.35, 8.30136, 1548.68, 923597, 5.58993
1514.17, 8.36665, 1620.1, 923347, 5.85107
1520.78, 8.4543, 1628.32, 923043, 5.07811
1528.85, 8.5483, 1563.84, 922804, 4.99812
1532.66, 8.64019, 1730.52, 922619, 5.50299
1528.84, 8.69399, 1538.68, 922139, 5.08747
1526.12, 8.76203, 1597.33, 921978, 5.32306
1521.27, 8.8236, 1896.31, 921925, 6.40917
1518.38, 8.88464, 1937.64, 921575, 6.55539
1513.52, 8.93598, 1869.71, 921306, 6.49687
1510.59, 8.98901, 1507.93, 920829, 5.44334
1507.14, 9.03873, 1497.96, 920504, 5.23412
1506.54, 9.11051, 1613.89, 920341, 5.65293
1506.34, 9.17429, 1508.97, 919953, 5.40166
1511.28, 9.2266, 1547.57, 919830, 2.9121
1515.46, 9.34536, 1914.4, 919756, 3.96644
1514.63, 9.43241, 1770.62, 919286, 5.12034
1532.2, 9.54877, 1798.14, 918940, 3.53337
1516.47, 9.61769, 2096.23, 918900, 4.93306
1521.59, 9.7215, 1949.75, 918473, 5.01736
1511.56, 9.77786, 1978.97, 918337, 5.84245
1512.3, 9.85929, 1994.74, 917992, 5.82636
1505.98, 9.9204, 2104.48, 917850, 6.69273
1505.99, 9.99401, 2061.23, 917370, 6.59814
1501.62, 10.0557, 2139.44, 917234, 7.33391
1501.12, 10.1247, 1870.45, 916663, 6.62897
1498.95, 10.1913, 1875.82, 916409, 7.01406
1499.53, 10.2601, 1684.9, 916120, 6.1813
1498.53, 10.3279, 1646.52, 915752, 6.32387
1498.64, 10.4089, 2079.95, 915697, 7.34988
1495.44, 10.4688, 1721.53, 915265, 7.03664
1493.9, 10.5408, 2004.91, 915237, 7.88958
1495.54, 10.612, 1815.43, 914772, 7.25499
1494.52, 10.684, 1869.12, 914497, 7.61961
1492.14, 10.7552, 2126.22, 914468, 9.22707
1490.21, 10.8204, 2237.47, 914303, 9.49016
1488.77, 10.8763, 1779.3, 913533, 7.61594
1487.72, 10.9427, 1602.84, 913276, 7.22033
1488.15, 11.0205, 1831.79, 913194, 8.05434
1494.12, 11.1244, 1938.87, 913009, 7.37983
1495.68, 11.2107, 1683.81, 912459, 7.59295
1495.71, 11.3026, 1959.51, 912227, 9.24762
1494.15, 11.3717, 1890.32, 911945, 9.22511
1493.75, 11.4399, 1555.45, 911555, 7.30979
1493.61, 11.5128, 1473.27, 911210, 6.87608
1494.69, 11.5989, 1674.26, 910933, 7.74923
1494.26, 11.6676, 1658.58, 910734, 7.06497
1493.61, 11.7462, 1614.28, 910433, 7.35532
1493.12, 11.8283, 1807.38, 910224, 8.86572
1497.24, 11.9208, 1930.27, 910028, 8.79833
1496.88, 12.0051, 1977.26, 909791, 10.108
1496.57, 12.0825, 1873.69, 909399, 9.40731
1495.28, 12.1604, 1962.09, 909351, 10.3523
1494.83, 12.2345, 1805.64, 908802, 9.12124
1493.92, 12.3107, 1821.62, 908684, 9.50189
1493.61, 12.401, 2241.35, 908662, 11.5867
1493.02, 12.475, 2145.24, 908305, 11.3597
1492.88, 12.5463, 1734.63, 907647, 8.75132
