Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
1381.21, 6.45213, 1841.47, 931445, 5.67734
1380.61, 6.49842, 1378.86, 930940, 4.70707
1380.56, 6.55296, 1374.86, 930641, 4.43097
1383.74, 6.61799, 1504.53, 930459, 4.79543
1383.34, 6.66946, 1478.22, 930140, 4.6032
1388.59, 6.73539, 1859.1, 930132, 4.89187
1387.56, 6.79876, 1872.25, 929793, 5.58801
1383.52, 6.8495, 1729.1, 929206, 5.42931
1379.92, 6.90952, 1867.76, 929127, 5.9345
1377.45, 6.95955, 1740.11, 928713, 5.98933
1377.65, 6.97895, 1725.23, 928571, 3.97725
1379.02, 7.05073, 1538.83, 928307, 4.65595
1379.14, 7.11272, 1495.79, 927932, 4.70769
1379.64, 7.18383, 1623.62, 927666, 5.2551
1379.83, 7.24467, 1506.41, 927259, 4.99686
1382.25, 7.32027, 1666.8, 927104, 5.41291
1384, 7.38319, 1557.02, 926732, 5.06129
1387.88, 7.46183, 1738.61, 926731, 5.5001
1392.84, 7.53666, 1692.27, 926385, 5.00805
1403.47, 7.63775, 1824.28, 926178, 5.0962
1397.82, 7.69368, 1855, 925857, 5.71212
1402.87, 7.77888, 1675.99, 925398, 5.47553
1393.22, 7.82769, 1810.36, 925303, 5.88487
1388.05, 7.87821, 1632.95, 924797, 5.49219
1381.61, 7.92379, 1775.55, 924690, 5.82053
1377.53, 7.97288, 1494.94, 924234, 5.10507
1377.07, 8.03528, 1533.44, 923951, 5.10787
1380.08, 8.1053, 1380.89, 923602, 4.51357
1388.48, 8.18754, 1527.91, 923492, 3.54322
1388.19, 8.27045, 1648.91, 923193, 4.44776
1384.17, 8.34123, 1562.08, 922949, 5.20173
1379.47, 8.3952, 1675.96, 922732, 5.51538
1377.31, 8.4496, 1516.54, 922269, 4.84434
1373.77, 8.5223, 1550.82, 921970, 5.49851
1382.22, 8.61176, 1519.89, 921770, 4.20233
1383.05, 8.7056, 1781.07, 921531, 5.9482
1379.27, 8.78518, 2007.12, 921414, 7.68115
1375.56, 8.8492, 2176.69, 921397, 8.37431
1377.69, 8.92041, 1823.73, 920766, 7.55082
1373.7, 8.98132, 1901.8, 920537, 7.98343
1368.29, 9.03036, 1634.56, 920030, 6.88867
1366.2, 9.0972, 1611.28, 919753, 6.9968
1367.97, 9.16517, 1561.84, 919393, 6.106
1369.06, 9.22114, 1455.64, 919174, 4.52177
1366.96, 9.28783, 1577.39, 919073, 4.9884
1369.14, 9.36799, 1492.67, 918655, 4.61068
1367.81, 9.43202, 1453.41, 918338, 4.85894
1365.77, 9.50561, 1734.93, 918264, 5.72099
1373.7, 9.61573, 1860.16, 918076, 5.87124
1373.76, 9.69882, 2006.85, 917856, 6.61474
1373.53, 9.77541, 1718.71, 917500, 6.20896
1371.82, 9.85239, 1873.38, 917275, 6.76153
1369.91, 9.91475, 1671.58, 916800, 6.11273
1368.68, 9.98907, 1757.77, 916596, 6.367
1366.79, 10.0488, 1548.88, 916101, 5.60599
1366.02, 10.1202, 1642.11, 915984, 5.684
1363.98, 10.1933, 1778.54, 915922, 6.37879
1362.85, 10.2606, 1671.58, 915458, 6.03898
1360.8, 10.3295, 1878.35, 915284, 6.6193
1359.32, 10.3935, 1650.69, 914967, 5.9577
1356.9, 10.458, 1727.66, 914709, 6.26159
1356.92, 10.5257, 1573.29, 914255, 5.4458
1357.32, 10.6027, 1629.7, 914046, 5.54417
1357.91, 10.6712, 1769.38, 913999, 4.79482
1356.2, 10.7508, 1836.84, 913882, 5.94135
1356.63, 10.8339, 1937.71, 913534, 6.37401
1356, 10.9013, 1850.2, 913167, 5.75522
1355.46, 10.9775, 1841.25, 912935, 6.00811
1354.29, 11.0412, 1650.01, 912479, 5.19897
1354.61, 11.1168, 1667.28, 912233, 5.18007
1353.75, 11.1798, 1499.94, 911820, 4.42357
1354.43, 11.2552, 1540.39, 911526, 4.40679
1353.33, 11.3317, 1788.72, 911473, 4.81318
1353.31, 11.4038, 1586.88, 911243, 4.52911
1352.28, 11.4785, 1750.87, 911115, 4.73635
1353.19, 11.5676, 2103.14, 911112, 5.55053
1351.66, 11.6372, 2005.16, 910717, 5.50827
1353.09, 11.726, 2326.91, 910689, 6.22802
1351.6, 11.7943, 2106.77, 910162, 5.86964
1352.53, 11.8806, 2278.86, 910089, 6.33129
1351.11, 11.9478, 1979.29, 909638, 5.72309
1352.09, 12.0319, 2094.27, 909483, 5.91974
1351.23, 12.0986, 1768.32, 908904, 5.13064
1352.17, 12.1719, 1592.5, 908402, 4.50621
1351.84, 12.2474, 1699.45, 908234, 4.47384
1352.27, 12.3175, 1470.89, 907904, 3.86203
1351.98, 12.3915, 1559.11, 907737, 3.77147
1352.97, 12.4772, 1699.52, 907523, 4.08378
1351.78, 12.5456, 1575.23, 907121, 3.83683
1353.04, 12.6321, 1695.89, 907004, 3.99226
1351.99, 12.6996, 1536.77, 906719, 3.69638
1353.04, 12.7831, 1636.5, 906566, 3.75585
1352.59, 12.8673, 1840.75, 906495, 4.1215
1353.49, 12.9469, 1681.31, 905982, 4.01152
1353.45, 13.0317, 1892.97, 905910, 4.25236
1354.4, 13.1106, 1646.01, 905431, 3.94444
1354.18, 13.1936, 1795.11, 905309, 4.05499
1355.7, 13.2911, 2032.84, 905289, 4.55485
1354.92, 13.3702, 1910.79, 904880, 4.44943
1356.79, 13.4679, 2117.94, 904681, 4.85963
1356.28, 13.5468, 1892.24, 904167, 4.54444
1357.55, 13.6238, 1575.91, 903645, 3.7628
1358.08, 13.7059, 1619, 903549, 3.68501
1360.1, 13.802, 1720.56, 903386, 3.82578
1360.88, 13.9038, 1961.03, 903154, 4.28037
1363.75, 14.0012, 1841.36, 902613, 4.2229
1366.13, 14.1095, 2070.52, 902544, 4.55919
1371.09, 14.2176, 1860.32, 902279, 4.30506
1377.91, 14.3483, 2056.62, 902185, 4.54765
1398.61, 14.5317, 1956.74, 901678, 4.22492
1414.26, 14.7112, 2200.26, 901628, 4.31132
1420.24, 14.8648, 2452.36, 901430, 4.81425
